pull_date,pull_time,location,update_time,pct_full,date,time,wday
12/31/22,15:11,Nick Level 1 Fitness,Updated over an hour ago,12.67,n/a,n/a,n/a
12/31/22,15:11,Nick Level 2 Fitness,Updated over an hour ago,5,n/a,n/a,n/a
12/31/22,15:11,Nick Level 3 Fitness,Updated over an hour ago,23,n/a,n/a,n/a
12/31/22,15:11,Nick Power House,Updated over an hour ago,24.29,n/a,n/a,n/a
12/31/22,15:11,Nick Track,Updated over an hour ago,4,n/a,n/a,n/a
12/31/22,15:11,Soderholm Family Aquatic Center,Currently closed,0,n/a,n/a,n/a
12/31/22,15:12,Nick Level 1 Fitness,Updated over an hour ago,12.67,n/a,n/a,n/a
12/31/22,15:12,Nick Level 2 Fitness,Updated over an hour ago,5,n/a,n/a,n/a
12/31/22,15:12,Nick Level 3 Fitness,Updated over an hour ago,23,n/a,n/a,n/a
12/31/22,15:12,Nick Power House,Updated over an hour ago,24.29,n/a,n/a,n/a
12/31/22,15:12,Nick Track,Updated over an hour ago,4,n/a,n/a,n/a
12/31/22,15:12,Soderholm Family Aquatic Center,Currently closed,0,n/a,n/a,n/a
12/31/22,16:00,Nick Level 1 Fitness,Updated over an hour ago,12.67,n/a,n/a,n/a
12/31/22,16:00,Nick Level 2 Fitness,Updated over an hour ago,5,n/a,n/a,n/a
12/31/22,16:00,Nick Level 3 Fitness,Updated over an hour ago,23,n/a,n/a,n/a
12/31/22,16:00,Nick Power House,Updated over an hour ago,24.29,n/a,n/a,n/a
12/31/22,16:00,Nick Track,Updated over an hour ago,4,n/a,n/a,n/a
12/31/22,16:00,Soderholm Family Aquatic Center,Currently closed,0,n/a,n/a,n/a
12/31/22,16:00,Nick Level 1 Fitness,Updated over an hour ago,12.67,n/a,n/a,n/a
12/31/22,16:00,Nick Level 2 Fitness,Updated over an hour ago,5,n/a,n/a,n/a
12/31/22,16:00,Nick Level 3 Fitness,Updated over an hour ago,23,n/a,n/a,n/a
12/31/22,16:00,Nick Power House,Updated over an hour ago,24.29,n/a,n/a,n/a
12/31/22,16:00,Nick Track,Updated over an hour ago,4,n/a,n/a,n/a
12/31/22,16:00,Soderholm Family Aquatic Center,Currently closed,0,n/a,n/a,n/a
12/31/22,20:01,Nick Level 1 Fitness,Updated over an hour ago,12.67,n/a,n/a,n/a
12/31/22,20:01,Nick Level 2 Fitness,Updated over an hour ago,5,n/a,n/a,n/a
12/31/22,20:01,Nick Level 3 Fitness,Updated over an hour ago,23,n/a,n/a,n/a
12/31/22,20:01,Nick Power House,Updated over an hour ago,24.29,n/a,n/a,n/a
12/31/22,20:01,Nick Track,Updated over an hour ago,4,n/a,n/a,n/a
12/31/22,20:01,Soderholm Family Aquatic Center,Currently closed,0,n/a,n/a,n/a
12/31/22,20:01,Nick Level 1 Fitness,Updated over an hour ago,12.67,n/a,n/a,n/a
12/31/22,20:01,Nick Level 2 Fitness,Updated over an hour ago,5,n/a,n/a,n/a
12/31/22,20:01,Nick Level 3 Fitness,Updated over an hour ago,23,n/a,n/a,n/a
12/31/22,20:01,Nick Power House,Updated over an hour ago,24.29,n/a,n/a,n/a
12/31/22,20:01,Nick Track,Updated over an hour ago,4,n/a,n/a,n/a
12/31/22,20:01,Soderholm Family Aquatic Center,Currently closed,0,n/a,n/a,n/a
12/31/22,21:00,Nick Level 1 Fitness,Updated over an hour ago,12.67,n/a,n/a,n/a
12/31/22,21:00,Nick Level 2 Fitness,Updated over an hour ago,5,n/a,n/a,n/a
12/31/22,21:00,Nick Level 3 Fitness,Updated over an hour ago,23,n/a,n/a,n/a
12/31/22,21:00,Nick Power House,Updated over an hour ago,24.29,n/a,n/a,n/a
12/31/22,21:00,Nick Track,Updated over an hour ago,4,n/a,n/a,n/a
12/31/22,21:00,Soderholm Family Aquatic Center,Currently closed,0,n/a,n/a,n/a
1/1/23,0:55,Nick Level 1 Fitness,Updated over an hour ago,12.67,n/a,n/a,n/a
1/1/23,0:55,Nick Level 2 Fitness,Updated over an hour ago,5,n/a,n/a,n/a
1/1/23,0:55,Nick Level 3 Fitness,Updated over an hour ago,23,n/a,n/a,n/a
1/1/23,0:55,Nick Power House,Updated over an hour ago,24.29,n/a,n/a,n/a
1/1/23,0:55,Nick Track,Updated over an hour ago,4,n/a,n/a,n/a
1/1/23,0:55,Soderholm Family Aquatic Center,Currently closed,0,n/a,n/a,n/a
1/1/23,15:57,Nick Level 1 Fitness,Updated over an hour ago,12.67,n/a,n/a,n/a
1/1/23,15:57,Nick Level 2 Fitness,Updated over an hour ago,5,n/a,n/a,n/a
1/1/23,15:57,Nick Level 3 Fitness,Updated over an hour ago,23,n/a,n/a,n/a
1/1/23,15:57,Nick Power House,Updated over an hour ago,24.29,n/a,n/a,n/a
1/1/23,15:57,Nick Track,Updated over an hour ago,4,n/a,n/a,n/a
1/1/23,15:57,Soderholm Family Aquatic Center,Currently closed,0,n/a,n/a,n/a
1/1/23,22:55,Nick Level 1 Fitness,Updated over an hour ago,12.67,n/a,n/a,n/a
1/1/23,22:55,Nick Level 2 Fitness,Updated over an hour ago,5,n/a,n/a,n/a
1/1/23,22:55,Nick Level 3 Fitness,Updated over an hour ago,23,n/a,n/a,n/a
1/1/23,22:55,Nick Power House,Updated over an hour ago,24.29,n/a,n/a,n/a
1/1/23,22:55,Nick Track,Updated over an hour ago,4,n/a,n/a,n/a
1/1/23,22:55,Soderholm Family Aquatic Center,Currently closed,0,n/a,n/a,n/a
1/1/23,23:00,Nick Level 1 Fitness,Updated over an hour ago,12.67,n/a,n/a,n/a
1/1/23,23:00,Nick Level 2 Fitness,Updated over an hour ago,5,n/a,n/a,n/a
1/1/23,23:00,Nick Level 3 Fitness,Updated over an hour ago,23,n/a,n/a,n/a
1/1/23,23:00,Nick Power House,Updated over an hour ago,24.29,n/a,n/a,n/a
1/1/23,23:00,Nick Track,Updated over an hour ago,4,n/a,n/a,n/a
1/1/23,23:00,Soderholm Family Aquatic Center,Currently closed,0,n/a,n/a,n/a
1/2/23,0:55,Nick Level 1 Fitness,Updated over an hour ago,12.67,n/a,n/a,n/a
1/2/23,0:55,Nick Level 2 Fitness,Updated over an hour ago,5,n/a,n/a,n/a
1/2/23,0:55,Nick Level 3 Fitness,Updated over an hour ago,23,n/a,n/a,n/a
1/2/23,0:55,Nick Power House,Updated over an hour ago,24.29,n/a,n/a,n/a
1/2/23,0:55,Nick Track,Updated over an hour ago,4,n/a,n/a,n/a
